Study,Well,Sample Name,Detector Name,PrimerPair,Replicate,Sample,CellLine,ExposureTime,BCM,Row,Col,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
011717,65,C17,sybr,CCND1,2,011717_VK2_LINERS_1hr,VK2,1hr,LINERS,C,17,SYBR,Unknown,30.978008,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,113,E17,sybr,CCND1,2,011717_VK2_GVAG_1hr,VK2,1hr,GVAG,E,17,SYBR,Unknown,30.27538,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,161,G17,sybr,CCND1,2,011717_VK2_MEDIA_1hr,VK2,1hr,MEDIA,G,17,SYBR,Unknown,29.84204,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,209,I17,sybr,CCND1,2,011717_VK2_DL_0_08_1hr,VK2,1hr,DL_0_08,I,17,SYBR,Unknown,31.797102,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,257,K17,sybr,CCND1,2,011717_VK2_DL_0_06_1hr,VK2,1hr,DL_0_06,K,17,SYBR,Unknown,29.859999,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,305,M17,sybr,CCND1,2,011717_VK2_L_0_08_1hr,VK2,1hr,L_0_08,M,17,SYBR,Unknown,30.587553,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,353,O17,sybr,CCND1,2,011717_VK2_L_0_06_1hr,VK2,1hr,L_0_06,O,17,SYBR,Unknown,30.841904,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,18,A18,sybr,CCND1,3,011717_VK2_LCRISP_1hr,VK2,1hr,LCRISP,A,18,SYBR,Unknown,31.70595,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,66,C18,sybr,CCND1,3,011717_VK2_LINERS_1hr,VK2,1hr,LINERS,C,18,SYBR,Unknown,30.76132,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,114,E18,sybr,CCND1,3,011717_VK2_GVAG_1hr,VK2,1hr,GVAG,E,18,SYBR,Unknown,29.844378,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,162,G18,sybr,CCND1,3,011717_VK2_MEDIA_1hr,VK2,1hr,MEDIA,G,18,SYBR,Unknown,29.574932,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,210,I18,sybr,CCND1,3,011717_VK2_DL_0_08_1hr,VK2,1hr,DL_0_08,I,18,SYBR,Unknown,NA,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,TRUE,,TRUE,,,TRUE,,,
011717,258,K18,sybr,CCND1,3,011717_VK2_DL_0_06_1hr,VK2,1hr,DL_0_06,K,18,SYBR,Unknown,NA,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,TRUE,,TRUE,,,TRUE,,,
011717,306,M18,sybr,CCND1,3,011717_VK2_L_0_08_1hr,VK2,1hr,L_0_08,M,18,SYBR,Unknown,NA,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,TRUE,,TRUE,,,TRUE,,,
011717,354,O18,sybr,CCND1,3,011717_VK2_L_0_06_1hr,VK2,1hr,L_0_06,O,18,SYBR,Unknown,NA,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,TRUE,,TRUE,,,TRUE,,,
011717,22,A22,sybr,RNU6,1,011717_VK2_LCRISP_1hr,VK2,1hr,LCRISP,A,22,SYBR,Unknown,22.736568,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,70,C22,sybr,RNU6,1,011717_VK2_LINERS_1hr,VK2,1hr,LINERS,C,22,SYBR,Unknown,21.269945,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,118,E22,sybr,RNU6,1,011717_VK2_GVAG_1hr,VK2,1hr,GVAG,E,22,SYBR,Unknown,20.40619,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
