Well,Sample Name,Detector Name,Reporter,Row,Col,PrimerPair,Sample,Replicate,Study,BCM,ExposureTime,CellLine,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
198,I6,sybr,SYBR,I,6,RNU6,042417_MEDIA_4hr,2,042417,MEDIA,4hr,VK2,Unknown,19.626303,62.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
199,I7,sybr,SYBR,I,7,RNU6,042417_MEDIA_4hr,3,042417,MEDIA,4hr,VK2,Unknown,19.605337,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
53,C5,sybr,SYBR,C,5,RNU6,042417_PH_733_4hr,1,042417,PH_733,4hr,VK2,Unknown,17.528791,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
54,C6,sybr,SYBR,C,6,RNU6,042417_PH_733_4hr,2,042417,PH_733,4hr,VK2,Unknown,17.074236,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
55,C7,sybr,SYBR,C,7,RNU6,042417_PH_733_4hr,3,042417,PH_733,4hr,VK2,Unknown,17.387041,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
101,E5,sybr,SYBR,E,5,RNU6,042417_PH_755_4hr,1,042417,PH_755,4hr,VK2,Unknown,16.827599,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
102,E6,sybr,SYBR,E,6,RNU6,042417_PH_755_4hr,2,042417,PH_755,4hr,VK2,Unknown,16.826958,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
103,E7,sybr,SYBR,E,7,RNU6,042417_PH_755_4hr,3,042417,PH_755,4hr,VK2,Unknown,16.565487,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
149,G5,sybr,SYBR,G,5,RNU6,042417_PH_766_4hr,1,042417,PH_766,4hr,VK2,Unknown,18.226023,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
150,G6,sybr,SYBR,G,6,RNU6,042417_PH_766_4hr,2,042417,PH_766,4hr,VK2,Unknown,17.916475,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
151,G7,sybr,SYBR,G,7,RNU6,042417_PH_766_4hr,3,042417,PH_766,4hr,VK2,Unknown,17.546343,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
